Pitch,Yaw,Roll
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
10,6.33859,15
10,0.669312,15
10,357.835,15
10,176.417,15
10,85.7087,15
10,40.3543,15
10,17.6772,15
